player_name
Nederland - Virgil van Dijk (captain)
Nederland - Nathan Aké
Nederland - Stefan de Vrij
Nederland - Xavi Simons
Nederland - Georginio Wijnaldum
Nederland - Wout Weghorst
Nederland - Memphis Depay
Nederland - Cody Gakpo
Nederland - Jeremie Frimpong
Nederland - Justin Bijlow
Nederland - Tijjani Reijnders
Nederland - Micky van de Ven
Nederland - Joey Veerman
Nederland - Daley Blind
Nederland - Donyell Malen
Nederland - Brian Brobbey
Nederland - Ian Maatsen
Nederland - Joshua Zirkzee
Nederland - Denzel Dumfries
Nederland - Mark Flekken
Nederland - Jerdy Schouten
Nederland - Steven Bergwijn
Nederland - Ryan Gravenberch
Østerrike - Heinz Lindner
Østerrike - Maximilian Wöber
Østerrike - Gernot Trauner
Østerrike - Kevin Danso
Østerrike - Stefan Posch
Østerrike - Nicolas Seiwald
Østerrike - Marko Arnautović
Østerrike - Alexander Prass
Østerrike - Marcel Sabitzer (captain)
Østerrike - Florian Grillitsch
Østerrike - Michael Gregoritsch
Østerrike - Niklas Hedl
Østerrike - Patrick Pentz
Østerrike - Leopold Querfeld
Østerrike - Philipp Lienhart
Østerrike - Phillipp Mwene
Østerrike - Florian Kainz
Østerrike - Romano Schmid
Østerrike - Christoph Baumgartner
Østerrike - Konrad Laimer
Østerrike - Flavius Daniliuc
Østerrike - Matthias Seidl
Østerrike - Patrick Wimmer
Østerrike - Andreas Weimann
Østerrike - Maximilian Entrup
Østerrike - Marco Grüll
Frankrike - Brice Samba
Frankrike - Benjamin Pavard
Frankrike - Ferland Mendy
Frankrike - Dayot Upamecano
Frankrike - Jules Koundé
Frankrike - Eduardo Camavinga
Frankrike - Antoine Griezmann
Frankrike - Aurélien Tchouaméni
Frankrike - Olivier Giroud
Frankrike - Kylian Mbappé (captain)
Frankrike - Ousmane Dembélé
Frankrike - Randal Kolo Muani
Frankrike - N'Golo Kanté
Frankrike - Adrien Rabiot
Frankrike - Marcus Thuram
Frankrike - Mike Maignan
Frankrike - William Saliba
Frankrike - Warren Zaïre-Emery
Frankrike - Youssouf Fofana
Frankrike - Kingsley Coman
Frankrike - Jonathan Clauss
Frankrike - Théo Hernandez
Frankrike - Alphonse Areola
Frankrike - Ibrahima Konaté
Frankrike - Bradley Barcola
Belgia - Koen Casteels
Belgia - Zeno Debast
Belgia - Arthur Theate
Belgia - Wout Faes
Belgia - Jan Vertonghen
Belgia - Axel Witsel
Belgia - Kevin De Bruyne (captain)
Belgia - Youri Tielemans
Belgia - Leandro Trossard
Belgia - Romelu Lukaku
Belgia - Yannick Carrasco
Belgia - Thomas Kaminski
Belgia - Matz Sels
Belgia - Dodi Lukebakio
Belgia - Thomas Meunier
Belgia - Aster Vranckx
Belgia - Charles De Ketelaere
Belgia - Orel Mangala
Belgia - Johan Bakayoko
Belgia - Loïs Openda
Belgia - Timothy Castagne
Belgia - Jérémy Doku
Belgia - Arthur Vermeeren
Belgia - Amadou Onana
Belgia - Maxim De Cuyper
Slovakia - Martin Dúbravka
Slovakia - Peter Pekarík
Slovakia - Denis Vavro
Slovakia - Adam Obert
Slovakia - Tomáš Rigo
Slovakia - Norbert Gyömbér
Slovakia - Tomáš Suslov
Slovakia - Ondrej Duda
Slovakia - Róbert Boženík
Slovakia - Ľubomír Tupta
Slovakia - László Bénes
Slovakia - Marek Rodák
Slovakia - Patrik Hrošovský
Slovakia - Milan Škriniar (captain)
Slovakia - Vernon De Marco
Slovakia - Dávid Hancko
Slovakia - Lukáš Haraslín
Slovakia - David Strelec
Slovakia - Juraj Kucka
Slovakia - Dávid Ďuriš
Slovakia - Matúš Bero
Slovakia - Stanislav Lobotka
Slovakia - Henrich Ravas
Slovakia - Leo Sauer
Slovakia - Sebastian Kóša
Slovakia - Ivan Schranz
Romania - Florin Niță
Romania - Andrei Rațiu
Romania - Radu Drăgușin
Romania - Adrian Rus
Romania - Ionuț Nedelcearu
Romania - Marius Marin
Romania - Denis Alibec
Romania - Alexandru Cicâldău
Romania - George Pușcaș
Romania - Ianis Hagi
Romania - Nicușor Bancu
Romania - Horațiu Moldovan
Romania - Valentin Mihăilă
Romania - Darius Olaru
Romania - Andrei Burcă
Romania - Ștefan Târnovanu
Romania - Florinel Coman
Romania - Răzvan Marin
Romania - Denis Drăguș
Romania - Dennis Man
Romania - Nicolae Stanciu (captain)
Romania - Vasile Mogoș
Romania - Deian Sorescu
Romania - Bogdan Racovițan
Romania - Daniel Bîrligea
Romania - Adrian Șut
Ukraina - Heorhiy Bushchan
Ukraina - Yukhym Konoplya
Ukraina - Oleksandr Svatok
Ukraina - Maksym Taloverov
Ukraina - Serhiy Sydorchuk
Ukraina - Taras Stepanenko
Ukraina - Andriy Yarmolenko (captain)
Ukraina - Ruslan Malinovskyi
Ukraina - Roman Yaremchuk
Ukraina - Mykhaylo Mudryk
Ukraina - Artem Dovbyk
Ukraina - Anatoliy Trubin
Ukraina - Illya Zabarnyi
Ukraina - Heorhiy Sudakov
Ukraina - Viktor Tsyhankov
Ukraina - Vitaliy Mykolenko
Ukraina - Oleksandr Zinchenko
Ukraina - Volodymyr Brazhko
Ukraina - Mykola Shaparenko
Ukraina - Oleksandr Zubkov
Ukraina - Valeriy Bondar
Ukraina - Mykola Matviyenko
Ukraina - Andriy Lunin
Ukraina - Oleksandr Tymchyk
Ukraina - Vladyslav Vanat
Ukraina - Bohdan Mykhaylichenko
Tyrkia - Mert Günok
Tyrkia - Zeki Çelik
Tyrkia - Merih Demiral
Tyrkia - Samet Akaydin
Tyrkia - Okay Yokuşlu
Tyrkia - Orkun Kökçü
Tyrkia - Kerem Aktürkoğlu
Tyrkia - Arda Güler
Tyrkia - Cenk Tosun
Tyrkia - Hakan Çalhanoğlu (captain)
Tyrkia - Yusuf Yazıcı
Tyrkia - Altay Bayındır
Tyrkia - Ahmetcan Kaplan
Tyrkia - Abdülkerim Bardakcı
Tyrkia - Salih Özcan
Tyrkia - İsmail Yüksek
Tyrkia - İrfan Kahveci
Tyrkia - Mert Müldür
Tyrkia - Kenan Yıldız
Tyrkia - Ferdi Kadıoğlu
Tyrkia - Barış Alper Yılmaz
Tyrkia - Kaan Ayhan
Tyrkia - Uğurcan Çakır
Tyrkia - Semih Kılıçsoy
Tyrkia - Yunus Akgün
Tyrkia - Bertuğ Yıldırım
Georgia - Giorgi Loria
Georgia - Otar Kakabadze
Georgia - Lasha Dvali
Georgia - Guram Kashia (captain)
Georgia - Solomon Kvirkvelia
Georgia - Giorgi Kochorashvili
Georgia - Khvicha Kvaratskhelia
Georgia - Budu Zivzivadze
Georgia - Zuriko Davitashvili
Georgia - Giorgi Chakvetadze
Georgia - Giorgi Kvilitaia
Georgia - Luka Gugeshashvili
Georgia - Giorgi Gocholeishvili
Georgia - Luka Lochoshvili
Georgia - Giorgi Gvelesiani
Georgia - Nika Kvekveskiri
Georgia - Otar Kiteishvili
Georgia - Sandro Altunashvili
Georgia - Levan Shengelia
Georgia - Anzor Mekvabishvili
Georgia - Giorgi Tsitaishvili
Georgia - Georges Mikautadze
Georgia - Saba Lobzhanidze
Georgia - Jemal Tabidze
Georgia - Giorgi Mamardashvili
Georgia - Gabriel Sigua
Portugal - Rui Patrício
Portugal - Nélson Semedo
Portugal - Pepe
Portugal - Rúben Dias
Portugal - Diogo Dalot
Portugal - João Palhinha
Portugal - Cristiano Ronaldo (captain)
Portugal - Bruno Fernandes
Portugal - Gonçalo Ramos
Portugal - Bernardo Silva
Portugal - João Félix
Portugal - José Sá
Portugal - Danilo Pereira
Portugal - Gonçalo Inácio
Portugal - João Neves
Portugal - Matheus Nunes
Portugal - Rafael Leão
Portugal - Rúben Neves
Portugal - Nuno Mendes
Portugal - João Cancelo
Portugal - Diogo Jota
Portugal - Diogo Costa
Portugal - Vitinha
Portugal - António Silva
Portugal - Pedro Neto
Portugal - Francisco Conceição
Tsjekkia - Jindřich Staněk
Tsjekkia - David Zima
Tsjekkia - Tomáš Holeš
Tsjekkia - Robin Hranáč
Tsjekkia - Vladimír Coufal
Tsjekkia - Martin Vitík
Tsjekkia - Antonín Barák
Tsjekkia - Petr Ševčík
Tsjekkia - Adam Hložek
Tsjekkia - Patrik Schick
Tsjekkia - Jan Kuchta
Tsjekkia - David Douděra
Tsjekkia - Mojmír Chytil
Tsjekkia - Lukáš Provod
Tsjekkia - David Jurásek
Tsjekkia - Matěj Kovář
Tsjekkia - Václav Černý
Tsjekkia - Ladislav Krejčí
Tsjekkia - Tomáš Chorý
Tsjekkia - Ondřej Lingr
Tsjekkia - Lukáš Červ
Tsjekkia - Tomáš Souček (captain)
Tsjekkia - Vítězslav Jaroš
Tsjekkia - Tomáš Vlček
Tsjekkia - Pavel Šulc
Tsjekkia - Matěj Jurásek
